Game,Location,ThrillScore,Comeback,Excitement,ThrillScoreRank,MVP,Tournament,Possessions,PredictedWinner,PredictedScore,WinProbability,PredictedPossessions,PredictedMOV,PredictedLoser,OT,Loser,LoserRank,LoserScore,Winner,WinnerRank,WinnerScore,ActualMOV
15 Kentucky vs.  6 Alabama,"Nashville, TN Bridgestone Arena",88.1,,,1,,SEC-T,nan,Alabama,92-88,62%,77.0,4,Kentucky,,,,,,,,
12 Arizona vs.  7 Texas Tech B12-T,"Kansas City, MO T-Mobile Center",86.2,,,2,,,nan,Texas Tech,78-76,57%,68.0,2,Arizona,,,,,,,,
18 Illinois vs.  14 Maryland B10-T,"Indianapolis, IN Gainbridge Fieldhouse",86.0,,,3,,,nan,Maryland,80-79,52%,73.0,1,Illinois,,,,,,,,
11 Wisconsin vs.  24 UCLA B10-T,"Indianapolis, IN Gainbridge Fieldhouse",81.6,,,4,,,nan,Wisconsin,72-70,57%,66.0,2,UCLA B10-T,,,,,,,,
19 Clemson vs.  25 Louisville,"Charlotte, NC Spectrum Center",81.5,,,5,,ACC-T,nan,Clemson,71-70,54%,66.0,1,Louisville,,,,,,,,
16 Purdue vs.  29 Michigan B10-T,"Indianapolis, IN Gainbridge Fieldhouse",79.7,,,6,,,nan,Purdue,76-73,60%,67.0,3,Michigan B10-T,,,,,,,,
17 Missouri vs.  4 Florida,"Nashville, TN Bridgestone Arena",78.1,,,7,,SEC-T,nan,Florida,84-78,73%,70.0,6,Missouri,,,,,,,,
27 Marquette vs.  13 St. John's,"New York, NY Madison Square Garden",77.1,,,8,,BE-T,nan,St. John's,73-69,64%,70.0,4,Marquette,,,,,,,,
33 Connecticut vs.  36 Creighton,"New York, NY Madison Square Garden",76.6,,,9,,BE-T,nan,Connecticut,73-72,53%,65.0,1,Creighton,,,,,,,,
31 Oregon vs.  8 Michigan St. B10-T,"Indianapolis, IN Gainbridge Fieldhouse",76.1,,,1,,,nan,Michigan St.,73-69,67%,68.0,4,Oregon,,,,,,,,
44 Boise St. vs.  41 New Mexico,"Las Vegas, NV Thomas & Mack Center",73.5,,,11,,MWC-T,nan,New Mexico,75-74,53%,71.0,1,Boise St.,,,,,,,,
23 BYU vs.  3 Houston B12-T,"Kansas City, MO T-Mobile Center",72.6,,,12,,,nan,Houston,73-66,75%,62.0,7,BYU,,,,,,,,
